Vardas               Pavarde               ND1                 ND2                 ND3                 ND4                 ND5                 Egz.
Vardas1              Pavarde1              6                   3                   5                   8                   6                   2                   
Vardas2              Pavarde2              9                   2                   9                   8                   8                   1                   
Vardas3              Pavarde3              2                   9                   4                   3                   3                   2                   
Vardas4              Pavarde4              6                   10                  5                   1                   9                   9                   
Vardas5              Pavarde5              10                  10                  6                   8                   9                   3                   
Vardas6              Pavarde6              7                   8                   1                   1                   5                   10                  
Vardas7              Pavarde7              4                   4                   2                   7                   1                   3                   
Vardas8              Pavarde8              2                   4                   3                   10                  3                   5                   
Vardas9              Pavarde9              4                   7                   1                   2                   5                   7                   
Vardas10             Pavarde10             6                   2                   7                   3                   4                   7                   
Vardas11             Pavarde11             10                  2                   7                   4                   3                   8                   
Vardas12             Pavarde12             4                   2                   2                   8                   10                  1                   
Vardas13             Pavarde13             3                   4                   3                   9                   5                   3                   
Vardas14             Pavarde14             10                  4                   1                   2                   7                   2                   
Vardas15             Pavarde15             4                   9                   2                   3                   10                  3                   
Vardas16             Pavarde16             9                   6                   9                   10                  1                   1                   
Vardas17             Pavarde17             5                   8                   2                   6                   9                   5                   
Vardas18             Pavarde18             5                   9                   7                   7                   4                   8                   
Vardas19             Pavarde19             10                  8                   6                   7                   10                  2                   
Vardas20             Pavarde20             6                   8                   7                   9                   4                   6                   
Vardas21             Pavarde21             3                   1                   8                   7                   3                   6                   
Vardas22             Pavarde22             6                   3                   2                   4                   7                   9                   
Vardas23             Pavarde23             4                   9                   9                   5                   9                   4                   
Vardas24             Pavarde24             6                   3                   8                   3                   9                   4                   
Vardas25             Pavarde25             9                   8                   5                   10                  2                   2                   
Vardas26             Pavarde26             2                   4                   6                   8                   2                   6                   
Vardas27             Pavarde27             6                   8                   1                   7                   10                  3                   
Vardas28             Pavarde28             6                   3                   2                   8                   4                   5                   
Vardas29             Pavarde29             3                   4                   5                   4                   10                  5                   
Vardas30             Pavarde30             3                   8                   2                   6                   6                   9                   
Vardas31             Pavarde31             5                   4                   8                   4                   7                   10                  
Vardas32             Pavarde32             7                   8                   4                   8                   9                   4                   
Vardas33             Pavarde33             7                   6                   3                   6                   1                   1                   
Vardas34             Pavarde34             1                   5                   10                  5                   3                   4                   
Vardas35             Pavarde35             3                   1                   10                  8                   5                   7                   
Vardas36             Pavarde36             3                   8                   7                   5                   2                   2                   
Vardas37             Pavarde37             2                   9                   10                  6                   4                   7                   
Vardas38             Pavarde38             6                   2                   10                  10                  3                   8                   
Vardas39             Pavarde39             3                   6                   7                   8                   4                   5                   
Vardas40             Pavarde40             5                   2                   1                   10                  8                   1                   
Vardas41             Pavarde41             10                  4                   3                   6                   5                   2                   
Vardas42             Pavarde42             5                   8                   4                   3                   7                   7                   
Vardas43             Pavarde43             7                   7                   1                   9                   1                   3                   
Vardas44             Pavarde44             9                   1                   4                   5                   5                   5                   
Vardas45             Pavarde45             9                   2                   5                   6                   9                   6                   
Vardas46             Pavarde46             1                   3                   3                   5                   10                  7                   
Vardas47             Pavarde47             8                   3                   2                   4                   5                   10                  
Vardas48             Pavarde48             6                   6                   2                   6                   5                   4                   
Vardas49             Pavarde49             6                   7                   6                   6                   6                   9                   
Vardas50             Pavarde50             1                   8                   3                   2                   10                  9                   
Vardas51             Pavarde51             5                   7                   5                   8                   5                   8                   
Vardas52             Pavarde52             10                  5                   9                   10                  10                  7                   
Vardas53             Pavarde53             5                   6                   4                   1                   10                  3                   
Vardas54             Pavarde54             3                   3                   4                   5                   9                   7                   
Vardas55             Pavarde55             5                   4                   3                   2                   5                   3                   
Vardas56             Pavarde56             10                  3                   7                   3                   3                   7                   
Vardas57             Pavarde57             6                   9                   5                   10                  3                   5                   
Vardas58             Pavarde58             5                   8                   2                   4                   3                   1                   
Vardas59             Pavarde59             6                   8                   3                   4                   10                  5                   
Vardas60             Pavarde60             7                   1                   7                   3                   10                  8                   
Vardas61             Pavarde61             9                   4                   10                  1                   9                   8                   
Vardas62             Pavarde62             5                   7                   7                   1                   7                   7                   
Vardas63             Pavarde63             4                   8                   6                   4                   4                   1                   
Vardas64             Pavarde64             8                   4                   7                   5                   3                   6                   
Vardas65             Pavarde65             2                   10                  9                   4                   3                   8                   
Vardas66             Pavarde66             2                   4                   4                   8                   2                   5                   
Vardas67             Pavarde67             8                   4                   1                   10                  10                  6                   
Vardas68             Pavarde68             6                   1                   1                   3                   7                   9                   
Vardas69             Pavarde69             9                   3                   6                   2                   10                  7                   
Vardas70             Pavarde70             8                   5                   1                   10                  5                   5                   
Vardas71             Pavarde71             7                   5                   4                   7                   1                   9                   
Vardas72             Pavarde72             9                   4                   8                   5                   1                   9                   
Vardas73             Pavarde73             5                   3                   10                  7                   9                   7                   
Vardas74             Pavarde74             3                   10                  2                   6                   1                   8                   
Vardas75             Pavarde75             8                   8                   7                   3                   6                   7                   
Vardas76             Pavarde76             10                  5                   5                   3                   9                   7                   
Vardas77             Pavarde77             5                   2                   2                   4                   1                   6                   
Vardas78             Pavarde78             9                   8                   6                   8                   3                   5                   
Vardas79             Pavarde79             6                   4                   9                   2                   7                   8                   
Vardas80             Pavarde80             9                   10                  9                   2                   7                   5                   
Vardas81             Pavarde81             4                   4                   8                   2                   5                   8                   
Vardas82             Pavarde82             10                  3                   10                  10                  3                   7                   
Vardas83             Pavarde83             10                  8                   2                   7                   4                   10                  
Vardas84             Pavarde84             8                   2                   1                   4                   3                   9                   
Vardas85             Pavarde85             4                   6                   4                   1                   8                   5                   
Vardas86             Pavarde86             10                  10                  5                   8                   2                   3                   
Vardas87             Pavarde87             5                   9                   10                  9                   10                  3                   
Vardas88             Pavarde88             9                   4                   3                   1                   8                   5                   
Vardas89             Pavarde89             1                   3                   2                   2                   4                   1                   
Vardas90             Pavarde90             9                   7                   3                   6                   1                   10                  
Vardas91             Pavarde91             3                   8                   10                  2                   3                   6                   
Vardas92             Pavarde92             4                   9                   9                   10                  9                   5                   
Vardas93             Pavarde93             7                   2                   1                   4                   5                   10                  
Vardas94             Pavarde94             6                   7                   5                   5                   10                  4                   
Vardas95             Pavarde95             4                   7                   10                  10                  9                   7                   
Vardas96             Pavarde96             6                   4                   6                   4                   7                   2                   
Vardas97             Pavarde97             7                   3                   10                  9                   7                   1                   
Vardas98             Pavarde98             3                   3                   10                  7                   4                   9                   
Vardas99             Pavarde99             10                  7                   2                   6                   1                   5                   
Vardas100            Pavarde100            8                   2                   10                  8                   4                   5                   
Vardas101            Pavarde101            2                   10                  7                   7                   3                   5                   
Vardas102            Pavarde102            4                   1                   7                   2                   2                   9                   
Vardas103            Pavarde103            2                   5                   1                   9                   6                   5                   
Vardas104            Pavarde104            1                   1                   1                   7                   2                   9                   
Vardas105            Pavarde105            1                   5                   2                   10                  2                   7                   
Vardas106            Pavarde106            3                   10                  8                   8                   2                   4                   
Vardas107            Pavarde107            10                  1                   5                   6                   10                  3                   
Vardas108            Pavarde108            4                   8                   10                  8                   9                   2                   
Vardas109            Pavarde109            2                   9                   10                  5                   7                   2                   
Vardas110            Pavarde110            8                   10                  10                  3                   7                   10                  
Vardas111            Pavarde111            5                   10                  4                   3                   2                   9                   
Vardas112            Pavarde112            7                   6                   4                   9                   8                   5                   
Vardas113            Pavarde113            10                  8                   9                   4                   8                   4                   
Vardas114            Pavarde114            8                   2                   4                   4                   4                   9                   
Vardas115            Pavarde115            9                   8                   2                   1                   5                   7                   
Vardas116            Pavarde116            8                   2                   7                   7                   8                   6                   
Vardas117            Pavarde117            6                   4                   4                   1                   8                   10                  
Vardas118            Pavarde118            8                   9                   9                   3                   7                   2                   
Vardas119            Pavarde119            6                   2                   5                   9                   9                   10                  
Vardas120            Pavarde120            8                   4                   3                   7                   8                   10                  
Vardas121            Pavarde121            10                  9                   5                   1                   4                   3                   
Vardas122            Pavarde122            8                   1                   9                   5                   5                   6                   
Vardas123            Pavarde123            2                   1                   1                   6                   5                   10                  
Vardas124            Pavarde124            6                   6                   10                  7                   2                   5                   
Vardas125            Pavarde125            2                   4                   3                   5                   7                   8                   
Vardas126            Pavarde126            10                  5                   4                   10                  9                   4                   
Vardas127            Pavarde127            10                  7                   7                   7                   6                   2                   
Vardas128            Pavarde128            4                   4                   9                   7                   6                   7                   
Vardas129            Pavarde129            4                   10                  2                   5                   4                   10                  
Vardas130            Pavarde130            9                   6                   4                   7                   5                   9                   
Vardas131            Pavarde131            4                   3                   1                   4                   3                   10                  
Vardas132            Pavarde132            6                   2                   9                   3                   6                   7                   
Vardas133            Pavarde133            3                   10                  9                   4                   7                   7                   
Vardas134            Pavarde134            3                   6                   4                   5                   1                   8                   
Vardas135            Pavarde135            6                   6                   5                   5                   8                   6                   
Vardas136            Pavarde136            9                   6                   4                   10                  9                   1                   
Vardas137            Pavarde137            1                   8                   2                   10                  1                   2                   
Vardas138            Pavarde138            6                   10                  6                   4                   2                   8                   
Vardas139            Pavarde139            3                   6                   2                   5                   5                   4                   
Vardas140            Pavarde140            9                   5                   5                   4                   6                   8                   
Vardas141            Pavarde141            1                   2                   1                   8                   4                   9                   
Vardas142            Pavarde142            10                  5                   2                   5                   6                   5                   
Vardas143            Pavarde143            6                   1                   6                   5                   7                   6                   
Vardas144            Pavarde144            2                   7                   10                  2                   6                   3                   
Vardas145            Pavarde145            7                   4                   10                  6                   6                   9                   
Vardas146            Pavarde146            9                   2                   3                   7                   10                  7                   
Vardas147            Pavarde147            8                   1                   2                   9                   3                   7                   
Vardas148            Pavarde148            10                  7                   8                   6                   3                   5                   
Vardas149            Pavarde149            4                   9                   8                   5                   5                   7                   
Vardas150            Pavarde150            8                   3                   4                   3                   4                   8                   
Vardas151            Pavarde151            2                   5                   2                   8                   9                   1                   
Vardas152            Pavarde152            4                   8                   3                   2                   7                   4                   
Vardas153            Pavarde153            4                   9                   3                   1                   10                  1                   
Vardas154            Pavarde154            9                   5                   8                   4                   6                   8                   
Vardas155            Pavarde155            7                   9                   7                   10                  5                   1                   
Vardas156            Pavarde156            8                   8                   6                   10                  9                   4                   
Vardas157            Pavarde157            7                   2                   10                  1                   10                  10                  
Vardas158            Pavarde158            8                   3                   3                   7                   7                   8                   
Vardas159            Pavarde159            3                   6                   1                   1                   4                   9                   
Vardas160            Pavarde160            5                   9                   10                  4                   5                   6                   
Vardas161            Pavarde161            1                   8                   1                   1                   6                   10                  
Vardas162            Pavarde162            4                   2                   7                   3                   8                   7                   
Vardas163            Pavarde163            8                   5                   7                   8                   6                   9                   
Vardas164            Pavarde164            6                   8                   5                   6                   2                   6                   
Vardas165            Pavarde165            3                   10                  7                   1                   2                   9                   
Vardas166            Pavarde166            3                   3                   6                   2                   9                   5                   
Vardas167            Pavarde167            6                   9                   2                   9                   6                   9                   
Vardas168            Pavarde168            2                   5                   8                   3                   8                   1                   
Vardas169            Pavarde169            6                   7                   6                   3                   5                   3                   
Vardas170            Pavarde170            9                   1                   8                   10                  6                   7                   
Vardas171            Pavarde171            8                   2                   2                   9                   8                   1                   
Vardas172            Pavarde172            5                   4                   4                   9                   9                   1                   
Vardas173            Pavarde173            7                   10                  6                   4                   4                   8                   
Vardas174            Pavarde174            5                   7                   10                  8                   9                   5                   
Vardas175            Pavarde175            6                   7                   8                   7                   10                  10                  
Vardas176            Pavarde176            6                   8                   7                   4                   9                   3                   
Vardas177            Pavarde177            9                   4                   7                   8                   5                   3                   
Vardas178            Pavarde178            10                  8                   4                   7                   1                   9                   
Vardas179            Pavarde179            7                   1                   8                   10                  3                   3                   
Vardas180            Pavarde180            10                  1                   8                   2                   9                   6                   
Vardas181            Pavarde181            2                   6                   7                   1                   4                   8                   
Vardas182            Pavarde182            1                   1                   7                   10                  5                   8                   
Vardas183            Pavarde183            10                  7                   8                   1                   5                   10                  
Vardas184            Pavarde184            4                   3                   5                   10                  6                   2                   
Vardas185            Pavarde185            1                   9                   9                   9                   3                   3                   
Vardas186            Pavarde186            6                   3                   7                   9                   4                   6                   
Vardas187            Pavarde187            4                   4                   10                  5                   10                  7                   
Vardas188            Pavarde188            6                   3                   1                   3                   7                   4                   
Vardas189            Pavarde189            8                   1                   1                   9                   10                  8                   
Vardas190            Pavarde190            2                   4                   9                   7                   9                   9                   
Vardas191            Pavarde191            3                   4                   8                   3                   4                   7                   
Vardas192            Pavarde192            10                  5                   5                   6                   6                   10                  
Vardas193            Pavarde193            7                   10                  8                   1                   2                   6                   
Vardas194            Pavarde194            4                   10                  7                   3                   8                   5                   
Vardas195            Pavarde195            1                   2                   2                   1                   8                   7                   
Vardas196            Pavarde196            8                   10                  1                   5                   9                   2                   
Vardas197            Pavarde197            8                   7                   8                   2                   5                   4                   
Vardas198            Pavarde198            8                   1                   4                   2                   4                   8                   
Vardas199            Pavarde199            1                   6                   7                   5                   9                   10                  
Vardas200            Pavarde200            2                   4                   5                   1                   5                   7                   
