Vardas               Pavarde               ND1                 ND2                 ND3                 ND4                 ND5                 Egz.
Vardas1              Pavarde1              5                   7                   4                   1                   5                   6                   
Vardas2              Pavarde2              3                   9                   8                   1                   2                   4                   
Vardas3              Pavarde3              7                   10                  3                   6                   10                  10                  
Vardas4              Pavarde4              4                   1                   4                   8                   6                   8                   
Vardas5              Pavarde5              9                   1                   4                   3                   6                   7                   
Vardas6              Pavarde6              7                   5                   9                   3                   7                   1                   
Vardas7              Pavarde7              1                   4                   10                  2                   1                   10                  
Vardas8              Pavarde8              8                   7                   10                  5                   8                   6                   
Vardas9              Pavarde9              8                   7                   9                   3                   9                   4                   
Vardas10             Pavarde10             10                  10                  1                   7                   8                   5                   
Vardas11             Pavarde11             9                   3                   2                   3                   10                  10                  
Vardas12             Pavarde12             5                   8                   6                   6                   7                   5                   
Vardas13             Pavarde13             4                   4                   2                   3                   3                   1                   
Vardas14             Pavarde14             6                   2                   3                   3                   4                   2                   
Vardas15             Pavarde15             10                  9                   2                   8                   10                  8                   
Vardas16             Pavarde16             7                   4                   2                   8                   10                  8                   
Vardas17             Pavarde17             6                   5                   9                   3                   5                   3                   
Vardas18             Pavarde18             2                   6                   10                  10                  5                   1                   
Vardas19             Pavarde19             10                  5                   8                   5                   7                   7                   
Vardas20             Pavarde20             3                   2                   10                  4                   8                   7                   
Vardas21             Pavarde21             2                   6                   9                   7                   3                   1                   
Vardas22             Pavarde22             4                   1                   5                   1                   5                   5                   
Vardas23             Pavarde23             1                   8                   8                   8                   2                   8                   
Vardas24             Pavarde24             9                   8                   5                   8                   10                  9                   
Vardas25             Pavarde25             6                   1                   2                   9                   4                   9                   
Vardas26             Pavarde26             6                   10                  7                   8                   4                   2                   
Vardas27             Pavarde27             4                   10                  8                   3                   5                   10                  
Vardas28             Pavarde28             7                   7                   5                   8                   8                   2                   
Vardas29             Pavarde29             9                   7                   9                   5                   1                   1                   
Vardas30             Pavarde30             6                   9                   4                   1                   10                  10                  
Vardas31             Pavarde31             8                   5                   3                   6                   4                   6                   
Vardas32             Pavarde32             7                   5                   4                   6                   1                   3                   
Vardas33             Pavarde33             8                   4                   4                   1                   5                   4                   
Vardas34             Pavarde34             1                   10                  9                   7                   8                   10                  
Vardas35             Pavarde35             8                   6                   7                   1                   3                   9                   
Vardas36             Pavarde36             9                   3                   3                   1                   7                   1                   
Vardas37             Pavarde37             8                   9                   2                   10                  9                   7                   
Vardas38             Pavarde38             6                   3                   4                   6                   7                   7                   
Vardas39             Pavarde39             9                   3                   2                   5                   2                   10                  
Vardas40             Pavarde40             4                   9                   4                   3                   2                   6                   
Vardas41             Pavarde41             6                   8                   6                   7                   8                   10                  
Vardas42             Pavarde42             5                   3                   6                   5                   1                   7                   
Vardas43             Pavarde43             6                   10                  1                   9                   9                   10                  
Vardas44             Pavarde44             6                   7                   3                   1                   5                   10                  
Vardas45             Pavarde45             7                   8                   9                   8                   8                   8                   
Vardas46             Pavarde46             4                   7                   1                   4                   9                   3                   
Vardas47             Pavarde47             8                   6                   5                   4                   1                   1                   
Vardas48             Pavarde48             10                  9                   10                  7                   2                   9                   
Vardas49             Pavarde49             5                   3                   10                  9                   1                   10                  
Vardas50             Pavarde50             10                  5                   1                   1                   1                   8                   
Vardas51             Pavarde51             6                   5                   4                   4                   3                   8                   
Vardas52             Pavarde52             6                   8                   4                   2                   7                   4                   
Vardas53             Pavarde53             8                   10                  2                   6                   1                   3                   
Vardas54             Pavarde54             5                   4                   4                   8                   8                   10                  
Vardas55             Pavarde55             8                   5                   10                  5                   7                   6                   
Vardas56             Pavarde56             10                  7                   7                   3                   1                   9                   
Vardas57             Pavarde57             3                   4                   10                  9                   8                   4                   
Vardas58             Pavarde58             5                   6                   7                   3                   10                  7                   
Vardas59             Pavarde59             3                   10                  5                   8                   2                   6                   
Vardas60             Pavarde60             7                   4                   4                   1                   8                   10                  
Vardas61             Pavarde61             6                   9                   4                   5                   2                   10                  
Vardas62             Pavarde62             10                  2                   3                   4                   5                   4                   
Vardas63             Pavarde63             5                   7                   3                   5                   5                   8                   
Vardas64             Pavarde64             7                   8                   3                   1                   5                   3                   
Vardas65             Pavarde65             10                  5                   6                   5                   6                   5                   
Vardas66             Pavarde66             1                   6                   6                   1                   7                   5                   
Vardas67             Pavarde67             9                   10                  3                   9                   10                  6                   
Vardas68             Pavarde68             9                   5                   7                   8                   4                   2                   
Vardas69             Pavarde69             7                   5                   10                  3                   10                  4                   
Vardas70             Pavarde70             4                   8                   8                   8                   6                   9                   
Vardas71             Pavarde71             3                   4                   1                   10                  5                   3                   
Vardas72             Pavarde72             9                   8                   9                   5                   4                   3                   
Vardas73             Pavarde73             3                   9                   10                  1                   7                   7                   
Vardas74             Pavarde74             10                  4                   4                   7                   7                   8                   
Vardas75             Pavarde75             2                   4                   9                   5                   2                   1                   
Vardas76             Pavarde76             3                   10                  9                   7                   3                   7                   
Vardas77             Pavarde77             3                   4                   5                   6                   9                   3                   
Vardas78             Pavarde78             5                   3                   9                   7                   10                  7                   
Vardas79             Pavarde79             4                   3                   1                   3                   1                   3                   
Vardas80             Pavarde80             1                   3                   3                   10                  3                   10                  
Vardas81             Pavarde81             6                   6                   4                   4                   9                   2                   
Vardas82             Pavarde82             9                   10                  9                   8                   4                   3                   
Vardas83             Pavarde83             6                   4                   6                   1                   1                   5                   
Vardas84             Pavarde84             3                   3                   8                   5                   1                   9                   
Vardas85             Pavarde85             5                   1                   2                   4                   8                   2                   
Vardas86             Pavarde86             8                   4                   1                   2                   10                  5                   
Vardas87             Pavarde87             5                   6                   7                   2                   4                   10                  
Vardas88             Pavarde88             6                   10                  2                   4                   3                   3                   
Vardas89             Pavarde89             4                   1                   3                   8                   10                  9                   
Vardas90             Pavarde90             4                   2                   9                   1                   10                  9                   
Vardas91             Pavarde91             5                   3                   9                   1                   6                   4                   
Vardas92             Pavarde92             3                   10                  9                   6                   9                   9                   
Vardas93             Pavarde93             1                   10                  1                   7                   6                   5                   
Vardas94             Pavarde94             10                  1                   10                  7                   4                   7                   
Vardas95             Pavarde95             5                   4                   1                   6                   4                   1                   
Vardas96             Pavarde96             8                   10                  2                   10                  10                  5                   
Vardas97             Pavarde97             8                   10                  5                   4                   7                   1                   
Vardas98             Pavarde98             7                   4                   7                   10                  5                   4                   
Vardas99             Pavarde99             5                   9                   4                   1                   6                   9                   
Vardas100            Pavarde100            8                   1                   4                   1                   6                   10                  
Vardas101            Pavarde101            4                   6                   6                   3                   10                  5                   
Vardas102            Pavarde102            7                   1                   1                   6                   6                   5                   
Vardas103            Pavarde103            5                   7                   9                   2                   2                   3                   
Vardas104            Pavarde104            7                   5                   5                   2                   7                   2                   
Vardas105            Pavarde105            10                  7                   2                   10                  9                   6                   
Vardas106            Pavarde106            8                   8                   9                   4                   2                   6                   
Vardas107            Pavarde107            9                   10                  10                  6                   10                  3                   
Vardas108            Pavarde108            10                  2                   10                  10                  8                   1                   
Vardas109            Pavarde109            9                   9                   2                   4                   2                   4                   
Vardas110            Pavarde110            8                   3                   1                   8                   7                   4                   
Vardas111            Pavarde111            6                   6                   8                   10                  9                   7                   
Vardas112            Pavarde112            9                   8                   10                  9                   4                   1                   
Vardas113            Pavarde113            8                   2                   3                   4                   4                   4                   
Vardas114            Pavarde114            5                   1                   10                  8                   9                   4                   
Vardas115            Pavarde115            3                   7                   6                   7                   1                   6                   
Vardas116            Pavarde116            8                   3                   8                   4                   1                   4                   
Vardas117            Pavarde117            10                  3                   9                   5                   8                   8                   
Vardas118            Pavarde118            8                   5                   7                   2                   4                   10                  
Vardas119            Pavarde119            6                   4                   2                   10                  4                   2                   
Vardas120            Pavarde120            2                   7                   1                   7                   7                   4                   
Vardas121            Pavarde121            6                   6                   6                   9                   3                   6                   
